CONTEST_CODE,CANDIDATE_NAME
00453009,"ALVAREZ, JCA (PDPLBN)"
00456009,"ABUY, BENILDA FATIMA (PFP)"
00458009,"YNARES, NINI (NPC)"
00461009,"JECOY, VILLA (PDPLBN)"
00462009,"ESCUDERO, CHIZ (NPC)"
00462009,"GALINDES, PADS ROLLIN (IND)"
00416009,"BALMEO, BP (IND)"
00417009,"BUENAFLOR, BISHOP (PDDS)"
00418009,"BANAAG, PERIOLO (PFP)"
00420009,"SUPLIG, MARLON (LAKAS)"
00428009,"FARIÑAS, RUDY (PDPLBN)"
00431009,"ALBANO, RODITO (PDPLBN)"
00434009,"HERNANDEZ, RAMIL (PDPLBN)"
00436009,"ABUBACAR, GANIE (PCP-M)"
00440009,"SALVACION, KUYA REY (IND)"
00440009,"VELASCO, JUSTICE (PDPLBN)"
00442009,"TAN, PHILIP (NP)"
00444009,"LATAWAN, EDUARDO JR. (IND)"
00450009,"PADILLA, CARLOS (NP)"
00451009,"MENDIOLA, MARIO GENE (PDPLBN)"
00603001,"MASENDO, JESRYL (NUP)"
00604001,"TIROL, LILLIAN (PDPLBN)"
00604001,"SUCRO, JURIS (PDPLBN)"
00604001,"MAYOR, RODSON (IND)"
00605002,"ROSAL, ROLLY (IND)"
00605003,"RIBAYA, EVA (PDPLBN)"
00606001,"BERIONG, DANTE (IND)"
00606002,"CANDARI, BENJAMIN JR. (NUP)"
00463009,"FUENTES, DAISY (NPC)"
00464009,"MERCADO, DAMIAN (PDPLBN)"
00464009,"EDILLO, EDDY (IND)"
00466009,"MASIHUL, KADRA (IND)"
00468009,"ANTIGO, JERRY (IND)"
00399009,"SAHIDULLA, LADY ANN (KDP)"
00399009,"ARCEGA, GERALD (WPP)"
00399009,"ALEJANO, GARY (LP)"
00399009,"POE, GRACE (IND)"
00399009,"LAPID, LITO (NPC)"
00399009,"GO, BONG GO (PDPLBN)"
00402009,"AMANTE, JUAN MIGUEL (NP)"
00407009,"FAISAL, NURSHIMA (PDDS)"
00407009,"KASAD, MUNIR (IND)"
00410009,"MANDANAS, DODO (PDPLBN)"
00412009,"FLORES, CONCEPCION (IND)"
00413009,"ELIGAN, BONG (IND)"
00413009,"MABILOG, EDGAR (IND)"
00414009,"NATIVIDAD, AGILA (PDPLBN)"
00602002,"RAMIREZ, PHILLIP (NP)"
00602002,"PITOGO, RUDY (PDPLBN)"
00602002,"CALO, BABETTE (PDPLBN)"
00603001,"BASTARECHE, TOTO (NUP)"
00603002,"DEL ROSARIO, KLENG (NUP)"
00612002,"GEMENTIZA, GLORIA (NPC)"
00612001,"TIROL, LEAH (NPC)"
00612001,"ONTONG, FABIO JR. (NP)"
00612001,"DAMALERIO, ALDZ (LP)"
00612002,"PURACAN, JIMBOY (NUP)"
00612003,"BONITA, DOCTOR (PDPLBN)"
00613002,"MARAMARA, MELCHOR (BPP)"
00473009,"AMDON, RENE (IND)"
00477009,"NOVERAS, GERARDO (NPC)"
00483009,"PALMA, WILTER (PDPLBN)"
00606002,"JULUAT, JUN (NPC)"
00607001,"SAHDIN, ONDOS (IND)"
00607001,"ISMAEL, AHMAD ALI (PDPLBN)"
00608001,"IBE, REY (NUP)"
00608002,"MENDOZA, IPE (IND)"
00609002,"ABAS, MILAGROS JULIET (NPC)"
00609002,"CATALUÑA, JULIET (LP)"
00610006,"LOPEZ, LYDIO JR. (NP)"
00610004,"DE VEYRA, JESS (NP)"
00611002,"BOTIWEY, JIM (LAKAS)"
00611001,"OLDICO, HANALYN (PDPLBN)"
00580009,"DE PERALTA, ELMER (PCM)"
00585009,"ELUDO, CALOY (LP)"
00601002,"BENEDITO, WALTER (IND)"
00614003,"VICEO, EMILY (NUP)"
00614004,"BALUYUT, ALLAN RAY (NUP)"
00614002,"DEBORJA, TONY (PDPLBN)"
00503009,"BAÑOSIA,FERDINAND MARCUS (PFP)"
00504009,"TORRES, RAY-AMADOR (IND)"
00506009,"MOLINA, RONY (PDPLBN)"
00507009,"ASARUL, HABER (PFP)"
00512009,"RELAMPAGOS, RENE (NUP)"
00513009,"TORRES, GORDON (IND)"
00513009,"DANGALLO, PASTOR DAN (IND)"
00514009,"MENDOZA, ANJO (PDPLBN)"
00517009,"PAPIN, IMELDA (PDPLBN)"
00517009,"AVINADO, EDGAR (IND)"
00518009,"CUTAB, HENRY (PDDS)"
00520009,"TAPEL, RODERICK (NPC)"
00525009,"UY, NIÑO SOTERO JR. (NP)"
00526009,"ABUDA, JONAS (NP)"
00528009,"MARCOS, MARIANO II (NP)"
00532009,"CLAVER, T. DWAHGAN (PDPLBN)"
00535009,"ATAY, CRISTY (PDPLBN)"
00536009,"MIMBANTAS, CABS (IND)"
00543009,"ELIPE, PREXY (PADAYN)"
00547009,"MENDOZA, EMMYLOU (NP)"
00555009,"BANIQUED, ANGEL SR. (PDPLBN)"
00566009,"TAN, ABDUSAKUR II (PDPLBN)"
00624001,"DECENA, MARIO (IND)"
00625001,"CAUBANG, DANTE (NP)"
00626001,"BALASE, PERRY (NP)"
00626001,"ALVAREZ, KAREN (PDPLBN)"
00627001,"BIMOHYA, GERONIMO (IND)"
00627001,"DUMANGENG, DAVID (IND)"
00627002,"JUGUIAD, FEDERICO JR. (IND)"
00627002,"ADDUG, ORLANDO (IND)"
00627002,"CHILAGAN, JULIUS (PDPLBN)"
00627001,"IN-UYAY, JOSEPH (IND)"
00627002,"MAGUIWE, NOLI (IND)"
00627001,"SIXTO, ROMEO (IND)"
00628002,"NALUPTA, JAMES PAUL (NP)"
00614004,"DELOS SANTOS, JON-JON (PDPLBN)"
00614003,"SALVADOR, DEREK (PFP)"
00615003,"DE ASIS, RODRIGO (PDPLBN)"
00615003,"TURINGAN, KAREN KAYE (NUP)"
00616001,"SERDON, ARTEMIO JR. (PDPLBN)"
00622005,"VILLAMOR, MIKE (PDPLBN)"
00622007,"BARICUATRO, DONG (NPC)"
00622006,"SOCO, GLENN (PDPLBN)"
00622003,"BORGONIA, ATTY JIMBO (PDPLBN)"
00622003,"DOLINO, LEO (IND)"
00623001,"ELIOT, ROBERT (IND)"
00623001,"ANG, JANE (HNP)"
00623001,"SO, TETE BUENAS (PDPLBN)"
00624002,"BELLO, MERLIN (NP)"
00619001,"PEREZ, IAN (PFP)"
00619001,"UNLAYAO, LEDENILA (PDDS)"
00620002,"TANAEL, EDWIN (IND)"
00620001,"LUCERO, PEPITO (LAKAS)"
00621004,"MUSA, JOEL ADOLFO (PFP)"
00628001,"SALENDA, PORTIA (NP)"
00629002,"SINGSON, JIMBOY (BILEG)"
00629002,"ELAYDO, MILDRED (BILEG)"
00629002,"BALICDANG, MEDIATRIX (PDPLBN)"
00629002,"PING-AY, WALDIMAR (PDPLBN)"
00629002,"GIRONELLA, CEFERINO (PDPLBN)"
00629001,"TUGADE, MARIO (PDPLBN)"
00630005,"TUPAS, DOC DARL (NP)"
00630002,"CAJILIG, ROLITO (NP)"
00630003,"PECINA, FRANK (NP)"
00631004,"VALMONTE, EDWIN (IND)"
00631002,"PUYAO, MIGUEL JR (PDPLBN)"
00631006,"PIOSANG, TRISTAN (IND)"
00632001,"AGOD, WILFREDO (NP)"
00632002,"DUYAN, BENIGNO (NP)"
00633002,"DACPANO, ISIDRO (PFP)"
00616002,"ABOGADO, FELIX ( NUP)"
00616001,"CANLAS, MIKE (NUP)"
00617004,"PACAMARRA, MAYMAY (NP)"
00617005,"CUADRANTE,MARIE BALDOZA PDPLBN"
00617005,"ESPIRITU, RUDITO JR. (NPC)"
00618001,"IBAHAY, MIKE (PDPLBN)"
00618002,"LADAO, JR (PDPLBN)"
